name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,286617971,,,,,primary,0,103.6096571,36.1409844,,,
,1,286618002,,,,,primary,0,103.6118756,36.4951373,,,
,2,286618058,,,,,primary,0,103.6098757,36.1410101,,,
,4,286619059,,,,,primary,0,103.7917336,36.0722128,,,
,7,286619117,,,,,primary,0,103.6910212,36.0902166,,,
,8,286619129,,,,,primary,0,103.6098975,36.1402655,,,
,11,306085152,,,,,trunk,1,95.5041137,41.1047564,,,
,12,306201322,,,,,trunk,0,94.5549806,40.0856273,,,
,13,306201325,,,,,primary,0,94.5839196,40.1052039,,,
,15,306201378,,,,,primary,0,94.6684486,40.110954,,,
,17,306210162,,,,,primary,0,94.6569915,40.1406954,,,
,18,313726355,,,,,primary,0,94.8900842,40.1633689,,,
,27,313730167,,,,,trunk,0,97.0501036,40.3354207,,,
,29,313731718,,,,,trunk,0,95.465607,41.0737059,,,
,30,313731768,,,,,motorway,0,95.621629,40.7920777,,,
,31,313732867,,,,,primary,0,97.0365085,40.2915128,,,
,32,313734350,,,,,trunk,0,97.0865993,40.2658445,,,
,41,313735065,motorway_junction,,,,motorway,0,98.1164611,39.802051,,,
,42,313735066,,,,,motorway,0,98.1182181,39.8013602,,,
,44,313735087,,,,,primary,0,98.1302105,39.798102,,,
,45,313735089,,,,,primary,0,98.1313287,39.7984233,,,
,51,313736798,,,,,trunk,0,99.35553,39.2533619,,,
,57,313738071,,,,,trunk,0,100.1020883,39.1616001,,,
,58,313738072,,,,,trunk,0,100.1030912,39.1597794,,,
,59,313738107,,,,,trunk,0,100.1675723,39.1510727,,,
,60,313738191,,,,,trunk,0,100.2782079,39.0889127,,,
,62,313738455,,,,,trunk,0,100.433914,38.9928629,,,
,63,313738487,,,,,trunk,0,100.4328365,38.9509614,,,
,65,313742084,,,,,trunk,0,101.0550571,38.8234001,,,
,67,313742290,,,,,motorway,0,101.1710884,38.7550383,,,
,69,313742830,,,,,trunk,0,101.5705171,38.4077187,,,
,72,313743075,,,,,motorway,0,101.7034042,38.3368645,,,
,73,313743289,motorway_junction,,,,motorway,0,101.9611895,38.2376207,,,
,74,313768284,,,,,trunk,0,102.0160676,38.2291579,,,
,80,313772296,,,,,trunk,0,102.8986106,37.486368,,,
,83,313772991,,,,,trunk,0,103.1324402,36.9731841,,,
,89,313773975,,,,,trunk,0,103.2761029,36.7020979,,,
,95,313774321,,,,,trunk,0,103.4467456,36.1768693,,,
,98,313774601,,,,,primary,0,103.7048988,36.0765243,,,
,99,313774629,,,,,primary,0,103.7873942,36.0651392,,,
,100,313774641,,,,,primary,0,103.8098088,36.0568029,,,
,102,313774657,crossing,,,,primary,0,103.8146352,36.0551591,,,
,103,313774672,crossing,,,,primary,0,103.8236134,36.0546566,,,
,106,313775835,,,,,trunk,0,103.9714822,36.0012339,,,
,107,313775845,,,,,trunk,0,103.9878809,35.9956947,,,
,127,313776494,,,,,trunk,0,104.2885173,35.7965906,,,
,128,313776498,,,,,trunk,0,104.2897393,35.7957551,,,
,144,313776855,,,,,trunk,0,104.5911933,35.640836,,,
,146,313776868,,,,,primary,0,104.6029346,35.6142435,,,
,147,313776881,,,,,primary,0,104.6283508,35.5813703,,,
