name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,0,779916492,,yes,,,"POLYGON ((107.6226121 35.7482973, 107.6229072 35.7483583, 107.6229594 35.7481917, 107.6226643 35.7481308, 107.6226121 35.7482973))",POINT (107.6227858 35.7482445),524.7,5647.8
,1,762694588,,yes,,,"POLYGON ((94.58331320000001 40.1078423, 94.5833765 40.1077804, 94.5831539 40.1076471, 94.5830905 40.107709, 94.58331320000001 40.1078423))",POINT (94.58323350000001 40.1077447),212.3,2285.5
,2,521462446,,yes,,,"POLYGON ((103.1951836 35.5905042, 103.1954321 35.5906358, 103.1955323 35.5905107, 103.1952838 35.5903791, 103.1951836 35.5905042))",POINT (103.195358 35.5905075),446.0,4800.5
,3,909107137,,yes,,,"POLYGON ((105.9866738 34.5570225, 105.9868172 34.557029, 105.9868267 34.5568855, 105.9868343 34.5567719, 105.9867328 34.5567673, 105.9867253 34.5568809, 105.9866834 34.5568791, 105.9866738 34.5570225))",POINT (105.9867609 34.5569082),327.2,3522.3
,4,905138071,,yes,,,"POLYGON ((107.8683615 36.0119377, 107.869016 36.0123041, 107.8691179 36.0121851, 107.8684633 36.0118187, 107.8683615 36.0119377))",POINT (107.8687397 36.0120614),1157.6,12459.9
,5,741761935,,yes,,,"POLYGON ((103.7566745 36.5433333, 103.7568306 36.5433358, 103.7568348 36.5431695, 103.757231 36.5431759, 103.7572344 36.5430376, 103.7566822 36.5430287, 103.7566745 36.5433333))",POINT (103.7569054 36.5431401),1014.8,10923.7
,6,835325803,,yes,,,"POLYGON ((103.3182613 35.9467138, 103.3184966 35.9465762, 103.3178489 35.9458502, 103.3176136 35.9459877, 103.3182613 35.9467138))",POINT (103.3180551 35.946282),2598.7,27972.3
,7,933301395,,yes,,,"POLYGON ((106.3400973 34.9677912, 106.3404354 34.9681792, 106.3405506 34.9681117, 106.3402125 34.9677238, 106.3400973 34.9677912))",POINT (106.340324 34.9679515),682.9,7350.3
,8,418585624,,yes,,,"POLYGON ((103.7386763 36.0794245, 103.738792 36.0798649, 103.7389714 36.0798342, 103.7388557 36.0793937, 103.7386763 36.0794245))",POINT (103.7388239 36.0796293),825.3,8883.7
,9,854904016,,yes,,,"POLYGON ((103.8583168 36.0798155, 103.8585569 36.079742, 103.8584724 36.0795619, 103.8582324 36.0796355, 103.8583168 36.0798155))",POINT (103.8583946 36.0796887),494.3,5320.8
,10,776182460,,yes,,,"POLYGON ((104.1022155 35.8639675, 104.1024174 35.8640419, 104.1025078 35.8638806, 104.1023059 35.8638062, 104.1022155 35.8639675))",POINT (104.1023617 35.8639241),394.3,4244.4
,11,405637086,,roof,,,"POLYGON ((103.7789114 36.073999, 103.7789243 36.0739791, 103.7789393 36.0739559, 103.7789529 36.073935, 103.7788014 36.0738884, 103.778737 36.0738505, 103.778678 36.0737909, 103.7786594 36.0738106, 103.7786405 36.0738306, 103.7786217 36.0738505, 103.7786793 36.0739014, 103.7787772 36.0739589, 103.7789114 36.073999))",POINT (103.778781 36.073907),243.8,2624.7
,12,318631797,,yes,,,"POLYGON ((103.9011768 36.0275027, 103.9011892 36.0275026, 103.9012016 36.0275038, 103.9012136 36.0275062, 103.9012252 36.0275098, 103.9012362 36.0275145, 103.9012463 36.0275203, 103.9012554 36.0275271, 103.9012634 36.0275348, 103.9012702 36.0275432, 103.9012756 36.0275523, 103.9012796 36.0275618, 103.901282 36.0275716, 103.901283 36.0275817, 103.9012823 36.0275917, 103.9012801 36.0276015, 103.9012765 36.0276111, 103.9012713 36.0276202, 103.9012648 36.0276287, 103.9012571 36.0276365, 103.9012482 36.0276435, 103.9012383 36.0276495, 103.9012276 36.0276544, 103.9012161 36.0276583, 103.9012042 36.0276609, 103.901192 36.0276623, 103.9011796 36.0276625, 103.9011673 36.0276615, 103.9011552 36.0276592, 103.9011437 36.0276557, 103.9011327 36.027651, 103.9011225 36.0276453, 103.9011132 36.0276386, 103.9011051 36.0276309, 103.9010982 36.0276225, 103.9010926 36.0276134, 103.9010886 36.0276039, 103.901086 36.027594, 103.901085 36.0275839, 103.9010856 36.0275738, 103.9010877 36.0275639, 103.9010914 36.0275542, 103.9010965 36.027545, 103.9011031 36.0275364, 103.9011109 36.0275285, 103.9011199 36.0275215, 103.9011299 36.0275155, 103.9011408 36.0275105, 103.9011523 36.0275067, 103.9011644 36.0275041, 103.9011768 36.0275027))",POINT (103.901184 36.0275826),248.5,2675.0
,13,863627199,,yes,,,"POLYGON ((103.1785539 36.1887953, 103.1785088 36.1887031, 103.1782535 36.1887844, 103.1782985 36.1888766, 103.1785539 36.1887953))",POINT (103.1784037 36.1887899),271.3,2919.7
,14,779916306,,yes,,,"POLYGON ((107.6396495 35.72047, 107.6404132 35.7205625, 107.6404354 35.7204417, 107.6396717 35.7203493, 107.6396495 35.72047))",POINT (107.6400425 35.7204559),949.3,10217.8
,15,482554033,,yes,,,"POLYGON ((105.7401794 33.7502022, 105.7404517 33.75033, 105.7405173 33.7502334, 105.740245 33.7501055, 105.7401794 33.7502022))",POINT (105.7403483 33.7502178),356.7,3839.0
,16,848364982,,yes,,,"POLYGON ((106.6546136 35.2208274, 106.6553519 35.2210189, 106.6553915 35.2209172, 106.6546531 35.2207257, 106.6546136 35.2208274))",POINT (106.6550025 35.2208723),831.9,8954.4
,17,741308906,,,school,,"POLYGON ((103.6817014 36.5435445, 103.6816969 36.540181, 103.676369 36.5401856, 103.6763735 36.5435491, 103.6817014 36.5435445))",POINT (103.6790352 36.541865),177935.1,1915275.9
,18,437061725,,warehouse,,,"POLYGON ((105.9176287 34.5653413, 105.9174571 34.5648134, 105.9179399 34.5647273, 105.9179238 34.5646036, 105.9183207 34.5646147, 105.9185112 34.5649062, 105.9185943 34.5648797, 105.9189966 34.5654761, 105.9190583 34.5656594, 105.918479 34.5657919, 105.9176287 34.5653413))",POINT (105.9182466 34.5652027),11444.1,123183.5
,19,408047355,,yes,,,"POLYGON ((103.708101 36.1110655, 103.7078443 36.1100205, 103.7069156 36.1101693, 103.7071723 36.1112144, 103.708101 36.1110655))",POINT (103.7075083 36.1106174),10067.1,108361.3
,20,421015268,,yes,,,"POLYGON ((103.7358873 36.1029675, 103.7358499 36.1028348, 103.7357098 36.1028606, 103.7357533 36.1030147, 103.735874 36.1029925, 103.7358968 36.1030732, 103.7361013 36.1030355, 103.7360902 36.1029961, 103.736283 36.1029605, 103.7362707 36.1029169, 103.7364574 36.1028825, 103.736428 36.1027783, 103.7362214 36.1028164, 103.7362344 36.1028626, 103.7360497 36.1028966, 103.7360607 36.1029356, 103.7358873 36.1029675))",POINT (103.7360711 36.1029258),865.3,9314.3
,21,467617912,,yes,,,"POLYGON ((105.8864731 34.568522, 105.8864988 34.568624, 105.8870299 34.5685335, 105.8870042 34.5684314, 105.8864731 34.568522))",POINT (105.8867515 34.5685277),575.1,6190.8
,22,915128593,,yes,,,"POLYGON ((104.6863027 36.5649817, 104.6864698 36.5650369, 104.686552 36.5648766, 104.6866837 36.5649202, 104.6867396 36.5648112, 104.6864408 36.5647124, 104.6863027 36.5649817))",POINT (104.6865014 36.5648672),689.1,7417.9
,23,781312887,,yes,,,"POLYGON ((107.6469867 35.7322403, 107.6469178 35.7324748, 107.6470672 35.7325037, 107.6471361 35.7322692, 107.6469867 35.7322403))",POINT (107.6470269 35.732372),372.4,4008.0
,24,415379175,,yes,,,"POLYGON ((103.8555489 36.0327677, 103.8546978 36.0329587, 103.8547335 36.0330627, 103.8555845 36.0328717, 103.8555489 36.0327677))",POINT (103.8551412 36.0329152),950.7,10233.2
,25,915128751,,yes,,,"POLYGON ((104.6905312 36.5604306, 104.6904647 36.560501, 104.6916229 36.5612062, 104.6916893 36.5611357, 104.6905312 36.5604306))",POINT (104.6910771 36.5608184),1272.7,13699.5
,26,421015452,,yes,,,"POLYGON ((103.7373036 36.1028695, 103.7371748 36.1029335, 103.7374578 36.1033051, 103.7375866 36.1032411, 103.7373036 36.1028695))",POINT (103.7373807 36.1030873),658.5,7088.2
,27,920109669,,yes,,,"POLYGON ((103.8562803 36.0446127, 103.8562298 36.044473, 103.8564057 36.0444314, 103.8564562 36.0445711, 103.8562803 36.0446127))",POINT (103.856343 36.0445221),267.1,2874.6
,28,407198005,,yes,,,"POLYGON ((103.7475698 36.0534718, 103.7479292 36.0527606, 103.7478001 36.0527179, 103.7474407 36.0534292, 103.7475698 36.0534718))",POINT (103.747685 36.0530949),1071.5,11533.0
,29,696029064,,yes,,,"POLYGON ((105.6553754 34.8483034, 105.6553503 34.8481014, 105.655252 34.8481097, 105.6552772 34.8483116, 105.6553754 34.8483034))",POINT (105.6553137 34.8482065),204.6,2202.7
临夏市第四中学,30,492792530,,,school,,"POLYGON ((103.1959051 35.5868724, 103.1968278 35.5861919, 103.1958514 35.5853412, 103.19502 35.5861613, 103.1959051 35.5868724))",POINT (103.1959079 35.5861303),13900.3,149621.7
,31,762614318,,yes,,,"POLYGON ((94.674173 40.1365339, 94.674167 40.1366401, 94.674851 40.1366626, 94.674857 40.1365565, 94.674173 40.1365339))",POINT (94.6745119 40.1365983),697.7,7510.4
,32,410875853,,yes,,,"POLYGON ((103.6050264 36.1086836, 103.6056662 36.1085904, 103.6056427 36.1084855, 103.605003 36.1085787, 103.6050264 36.1086836))",POINT (103.6053346 36.1085846),690.4,7431.1
,33,847213984,,yes,,,"POLYGON ((105.9095523 34.5601923, 105.9095424 34.5600914, 105.9089568 34.5601304, 105.9089667 34.5602313, 105.9095523 34.5601923))",POINT (105.9092545 34.5601614),604.9,6511.5
,34,695498856,,yes,,,"POLYGON ((103.7246409 36.1427874, 103.7253624 36.1427809, 103.7253605 36.1426415, 103.724639 36.142648, 103.7246409 36.1427874))",POINT (103.7250007 36.1427144),1006.1,10829.9
,35,696175818,,yes,,,"POLYGON ((107.0372274 35.1748499, 107.0374422 35.1749254, 107.037702 35.1744314, 107.0374872 35.174356, 107.0372274 35.1748499))",POINT (107.0374647 35.1746407),1269.6,13665.8
,36,846969594,,yes,,,"POLYGON ((105.8944032 34.5590448, 105.8948109 34.5589818, 105.8947755 34.5588265, 105.8943678 34.5588895, 105.8944032 34.5590448))",POINT (105.8945894 34.5589357),668.8,7198.4
,37,574454498,,yes,,,"POLYGON ((102.0736646 38.3673288, 102.0738306 38.3671802, 102.0737479 38.3671234, 102.0735819 38.367272, 102.0736646 38.3673288))",POINT (102.0737062 38.3672261),211.7,2279.1
,38,827590237,,yes,,,"POLYGON ((103.8522229 36.0300802, 103.8525742 36.0299978, 103.8525352 36.0298888, 103.8521838 36.0299713, 103.8522229 36.0300802))",POINT (103.852379 36.0299845),415.6,4473.7
,39,579299936,,yes,,,"POLYGON ((103.8946043 36.0839481, 103.8949936 36.083947, 103.8949931 36.0838366, 103.8946039 36.0838377, 103.8946043 36.0839481))",POINT (103.8947987 36.0838924),427.6,4602.9
,40,742193914,,yes,,,"POLYGON ((103.5802227 35.4917478, 103.5799632 35.492353, 103.580685 35.4925582, 103.5807493 35.4924082, 103.5803032 35.4922813, 103.5804984 35.4918262, 103.5802227 35.4917478))",POINT (103.5803062 35.4921841),2637.7,28392.3
,41,502418500,,yes,,,"POLYGON ((103.8250014 36.0478426, 103.8249237 36.0474433, 103.8247872 36.0474606, 103.824865 36.0478599, 103.8250014 36.0478426))",POINT (103.8248943 36.0476516),558.1,6007.5
,42,717853647,,yes,,,"POLYGON ((103.8420734 36.0339585, 103.8428351 36.0337763, 103.8427398 36.0335157, 103.842594 36.0335505, 103.8426511 36.0337068, 103.8420352 36.0338541, 103.8420734 36.0339585))",POINT (103.8424931 36.0337698),1110.4,11952.6
,43,496692055,,yes,,,"POLYGON ((106.6903567 35.5367095, 106.6904533 35.5368237, 106.6909173 35.536564, 106.6908208 35.5364497, 106.6903567 35.5367095))",POINT (106.690637 35.5366367),786.1,8461.4
,44,925937689,,yes,,,"POLYGON ((103.8496962 35.3659361, 103.8501482 35.3658651, 103.8501179 35.3657369, 103.849666 35.3658079, 103.8496962 35.3659361))",POINT (103.8499071 35.3658365),605.7,6520.1
,45,415005640,,yes,,,"POLYGON ((103.9723636 35.9880622, 103.9728491 35.9879319, 103.9727495 35.9876889, 103.972264 35.9878192, 103.9723636 35.9880622))",POINT (103.9725565 35.9878755),1307.8,14076.7
红星美凯龙写字楼,46,438408459,,commercial,,,"POLYGON ((103.8989925 36.0495045, 103.8992393 36.0496173, 103.8998669 36.0494915, 103.8999182 36.0494326, 103.9000815 36.0492182, 103.8995022 36.0489298, 103.8994175 36.0489045, 103.8993306 36.0488849, 103.899242 36.0488713, 103.8991403 36.048863, 103.8990381 36.0488626, 103.8990011 36.0488595, 103.898964 36.0488626, 103.8989285 36.0488717, 103.898896 36.0488864, 103.8988675 36.0489066, 103.8988447 36.048931, 103.8988287 36.0489587, 103.8988201 36.0489885, 103.8988193 36.049019, 103.8988262 36.0490491, 103.8989925 36.0495045))",POINT (103.8993804 36.0492317),6452.1,69450.1
,47,954995794,,yes,,,"POLYGON ((105.1529762 32.6317878, 105.1531962 32.6320679, 105.1532815 32.6320204, 105.1530615 32.6317403, 105.1529762 32.6317878))",POINT (105.1531289 32.6319041),359.1,3865.2
,48,474171139,,yes,,,"POLYGON ((105.9265379 34.5597438, 105.9271223 34.559756, 105.9271263 34.5596258, 105.9265419 34.5596136, 105.9265379 34.5597438))",POINT (105.9268321 34.5596848),773.5,8326.1
,49,492792315,,yes,,,"POLYGON ((103.2069907 35.6006481, 103.207348 35.6006773, 103.2073608 35.600574, 103.2070995 35.6005526, 103.2071047 35.6005104, 103.2070086 35.6005026, 103.2069907 35.6006481))",POINT (103.2071637 35.6006028),417.5,4493.8
,50,411101550,,yes,,,"POLYGON ((103.9168842 36.283361, 103.9169648 36.2833504, 103.9169255 36.2831562, 103.9168449 36.2831667, 103.9168842 36.283361))",POINT (103.9169048 36.2832586),159.3,1714.7
,51,846931685,,yes,,,"POLYGON ((105.8963451 34.5575725, 105.8962401 34.5575962, 105.8963012 34.5577798, 105.8958428 34.5578832, 105.8958899 34.5580247, 105.8963482 34.5579212, 105.8964367 34.5581869, 105.8959324 34.5583007, 105.8959668 34.5584043, 105.8965761 34.5582667, 105.8963451 34.5575725))",POINT (105.8962447 34.5580216),2077.9,22366.5
,52,580081104,,yes,,,"POLYGON ((103.6664716 36.5324411, 103.666621 36.5324468, 103.6666304 36.532287, 103.666481 36.5322813, 103.6664716 36.5324411))",POINT (103.666551 36.532364),237.4,2555.1
天水第八中学,53,436232941,,,school,,"POLYGON ((105.8807105 34.5669799, 105.8809224 34.5676867, 105.8801882 34.5678124, 105.8801567 34.5676925, 105.8794586 34.567812, 105.879313 34.5672582, 105.8807105 34.5669799))",POINT (105.8801429 34.5674316),9575.4,103068.8
,54,762614139,,yes,,,"POLYGON ((94.66277359999999 40.1424865, 94.6627692 40.1426153, 94.6633861 40.1426276, 94.66339050000001 40.1424988, 94.66277359999999 40.1424865))",POINT (94.6630799 40.1425571),762.4,8205.9
,55,423825029,,yes,,,"POLYGON ((106.0485977 34.3971037, 106.0486141 34.3971456, 106.0488038 34.3970952, 106.0487874 34.3970532, 106.0485977 34.3971037))",POINT (106.0487008 34.3970994),90.2,970.6
,56,886540520,,yes,,,"POLYGON ((103.6838713 36.5189575, 103.6844453 36.5189575, 103.6844453 36.5188238, 103.6838713 36.5188238, 103.6838713 36.5189575))",POINT (103.6841583 36.5188907),763.3,8216.1
,57,363870589,,roof,,,"POLYGON ((103.7028743 36.4849522, 103.7028743 36.4846483, 103.7025447 36.4846483, 103.7025447 36.4849522, 103.7028743 36.4849522))",POINT (103.7027095 36.4848003),994.2,10701.0
,58,776182056,,yes,,,"POLYGON ((104.1202674 35.850829, 104.120087 35.8507525, 104.1200397 35.8508259, 104.1202104 35.8508982, 104.1202674 35.850829))",POINT (104.1201514 35.8508261),164.4,1769.3
,59,899862663,,yes,,,"POLYGON ((105.8026743 34.566759, 105.8034902 34.5666336, 105.8034655 34.5665249, 105.8026496 34.5666504, 105.8026743 34.566759))",POINT (105.80307 34.566642),931.3,10024.5
